KEY,en,notes,sp,fr,de,it,pt-br
ENEMY_NETTLE_NAME,Nettle,,Ortiga,Ortie,Nessel,Ortica,Urtiga
ENEMY_NETTLE_DESC,"Melee attacker.
Each time one of its enemies casts a spell, this emits a Sparkle and gains +1 Thorns.",,"Atacante cuerpo a cuerpo.
Cada vez que un enemigo lanza un hechizo, emite un destello y obtiene +1 de espinas.","Attaque au corps-à-corps.
Chaque fois qu'un de ses ennemis lance un sort, il émet une étincelle et bénéficie d'Épines +1.","Nahkämpfer.
Jedes Mal, wenn einer ihrer Gegner einen Zauber wirkt, versprüht sie einen Funken und erhält +1&nbsp;Dornen.","Specialista del corpo a corpo.
Ogni volta che un suo nemico lancia un incantestimo, emette una Scintilla e ottiene +1 Spine.","Agressor corpo-a-corpo.
A cada vez em que um de seus inimigos lança um encantamento, emite uma fagulha e obtém +1 de espinhos."
ENEMY_BIRTHWORT_NAME,Birthwort,,Aristolochia,Aristoloche,Pfeifenblume,Aristolochia,Erva-de-Parto
ENEMY_BIRTHWORT_DESC,"Blind. Can melee attack and dash with Trample in random directions.
Fires shots that inflict Rot whenever it's attacked.
Heals itself and its neighbors at the end of its turn.",,"Sufre ceguera. Puede atacar cuerpo a cuerpo y correr con pisotón en direcciones al azar.
Dispara proyectiles que infligen putrefacción siempre que lo atacan.
Se cura a sí mismo y a las unidades adyacentes al final del turno.","Cécité. Peut effectuer une attaque au corps-à-corps et charger avec Piétinement dans des directions aléatoires.
Tire des projectiles qui infligent Décomposition quand il est attaqué.
Se soigne ainsi que ses voisins à la fin de son tour.","Blind. Kann in zufällige Richtungen Nahkampf- und Ansturmangriffe mit Trampel ausführen.
Feuert Geschosse, die Fäulnis verursachen, wenn sie angegriffen wird.
Heilt sich und benachbarte Einheiten am Ende ihres Zuges.","Cieca. Può eseguire attacchi corpo a corpo e scattare con Calpestamento in direzioni casuali.
Quando viene attaccata, spara dei colpi che infliggono Putrefazione.
Cura se stessa e chi le sta vicino al termine del suo turno.","Cego. Pode realizar ataques corpo-a-corpo com atropelamento em direções aleatórias.
Possui disparos que podem aplicar apodrecimento ao sofrer ataques.
Cura a si mesmo e seus vizinhos no final de seu turno."
ENEMY_AMOEBA_NAME,Amoeba,,Ameba,Amibe,Amöbe,Ameba,Ameba
ENEMY_AMOEBA_DESC,"Can attach itself to equipment slots on cats, and will break existing equipment if it does.
Will attempt to find a rock to defend itself.",,"Puede engancharse a los espacios de equipamiento de los gatos para destrozarlo.
Intenta buscar una roca para defenderse.","Peut se fixer sur les emplacements d'équipement des chats, ce qui détruit l'équipement existant.
Tente de trouver une pierre pour se défendre.","Kann sich an Ausrüstungsplätze von Katzen anheften und zerstört dabei vorhandene Ausrüstungsstücke.
Sucht nach Steinen, um sich zu verteidigen.","Si può aggrappare agli slot equipaggiamento dei gatti, e così facendo distrugge gli equipaggiamenti esistenti.
Cerca di trovare una roccia per difendersi.","Pode se conectar a espaços de equipamentos de gatos, e quebra equipamentos existentes se o fizer.
Tenta encontrar uma pedra para se defender."
ENEMY_TREMBLO_NAME,Tremblo,,Tremblo,Tremblolithe,Tramplo,Tremoletto,Tremblo
ENEMY_TREMBLO_DESC,"Its melee attack inflicts Stun and spawns rocks.
Can suck rocks towards itself and eat them to gain Brace and Shield.",,"Su ataque cuerpo a cuerpo inflige aturdimiento y genera rocas.
Succiona las rocas y se las zampa para obtener refuerzo y escudo.","Son attaque au corps-à-corps inflige Étourdissement et fait apparaître des pierres.
Peut aspirer les pierres vers lui et les manger pour bénéficier de Garde et de Défense.","Sein Nahkampfangriff verursacht Betäubung und lässt Steine erscheinen.
Kann Steine ansaugen und sie fressen, um Wappnen und Schild zu erhalten.","Il suo attacco corpo a corpo infligge Stordimento e genera rocce.
Può risucchiare le rocce verso se stesso e mangiarle per ottenere Guardia e Scudo.","Seu ataque corpo-a-corpo aplica atordoamento e gera pedras.
Pode sugar pedras na sua direção e as come para obter preparação e escudo."
ENEMY_CRATERCREEPER_NAME,Crater Creeper,,Reptacráteres,Comètard,Kraterkriecher,Melma di Cratere,Crateirista
ENEMY_CRATERCREEPER_DESC,"Shoots rocks or dashes forward leaving an Amoeba behind.
Can only be damaged from the front.",,"Dispara rocas o corre hacia delante, dejando una ameba a su paso.
Solo sufre daño con los ataques de frente.","Tire des pierres ou fonce en avant en laissant une amibe derrière lui.
Ne peut subir des dégâts que par l'avant.","Verschießt Steine oder stürmt nach vorn und hinterlässt eine Amöbe.
Kann nur von vorn Schaden erleiden.","Spara rocce o scatta in avanti lasciando dietro di se un'Ameba.
Può subire danno solo da attacchi frontali.","Atira pedras ou realiza impulsos para frente deixando uma ameba para trás.
Só pode sofrer dano pela frente."
ENEMY_CRATERCREEPER2_NAME,Crater Creeper,,Reptacráteres,Comètard,Kraterkriecher,Melma di Cratere,Crateirista
ENEMY_CRATERCREEPER2_DESC,Its ranged attack spawns an Amoeba.,,Su ataque a distancia genera una ameba.,Son attaque à distance invoque une amibe.,Sein Fernkampfangriff lässt eine Amöbe erscheinen.,Il suo attacco a distanza genera un'Ameba.,Seu ataque à distância gera uma ameba.
ENEMY_COREFREAK_NAME,Core Freak,,Pringao nuclear,Détraqué du Noyau,Kernmissgeburt,Abominio del Nucleo,Nucleário
ENEMY_COREFREAK_DESC,"Can perform a flurry melee attack or a headbutt that inflicts Stun.
Blind.",,"Puede lanzar un ataque cuerpo a cuerpo en ráfaga o arrear un cabezazo que aturde.
Sufre ceguera.","Peut effectuer un déluge de coups au corps-à-corps ou un coup de tête qui inflige Étourdissement.
Cécité.","Kann einen mehrfachen Nahkampfangriff oder einen Kopfstoß, der Betäubung verursacht, ausführen.
Blind.","Può eseguire una raffica corpo a corpo oppure una testata che infligge Stordimento.
Cieco.","Pode realizer um ataque corpo-a-corpo de rajada ou uma cabeçada que aplica atordoamento.
Cego."
ENEMY_HOTPOKER_NAME,Hot Poker,,Atizador candente,Tisonnier ardent,Heißer Stecher,Attizzatoio Bollente,Ferro Quente
ENEMY_HOTPOKER_DESC,"Has 2 melee attacks, one with Immobilize, the other with Burn that knocks a unit in the direction it's facing.
Can give its allies extra turns.
Immune to Fire.",,"Tiene 2 ataques cuerpo a cuerpo, uno con inmovilización y el otro con quemadura, que empuja a una unidad en la dirección en la que mira.
Otorga turnos extras a los aliados.
Inmune al fuego.","Dispose de 2&nbsp;attaques au corps-à-corps&nbsp;: l'une avec Immobilisation, l'autre avec Brûlure qui repousse une unité dans la direction qu'elle regarde.
Peut offrir des tours bonus à ses alliés.
Immunité au feu.","Hat zwei Nahkampfangriffe. Einer macht Gegner bewegungsunfähig, der andere verursacht Verbrennung und stößt die Einheit in die Richtung zurück, in die sie blickt.
Kann Verbündeten zusätzliche Züge verleihen.
Immun gegen Feuer.","Possiede due attacchi corpo a corpo, uno con Immobilizzazione, l'altro con Bruciatura, in grado di spingere un'unità nella direzione in cui è rivolta.
Può fornire turni aggiuntivi ai suoi alleati.
Immune al fuoco.","Possui 2 ataques corpo-a-corpo. Um com imobilização e outro com queimadura que empurra unidades para a direção em que é realizado.
Imune contra fogo."
ENEMY_WHISPERER_NAME,Whisperer,,Susurrante,Charmeur,Flüsterer,Sussurratore,Sussurrante
ENEMY_WHISPERER_DESC,"Its ranged attack inflicts Bruise and -2 [img:spd] to enemies, and Brace and +2 [img:spd] to allies.
Its melee attack inflicts Charm.",,"Su ataque a distancia inflige moratón y -2 [img:spd] a los enemigos, y refuerzo y +2 [img:spd] a los aliados.
Su ataque cuerpo a cuerpo inflige embrujo.","Son attaque à distance inflige Contusion et [img:spd] -2&nbsp;aux ennemis, ainsi que Garde et [img:spd] +2&nbsp;aux alliés.
Son attaque au corps-à-corps inflige Envoûtement.","Sein Fernkampfangriff verursacht Beulen und -2&nbsp;[img:spd] bei Gegnern, Wappnen und +2&nbsp;[img:spd] bei Verbündeten.
Sein Nahkampfangriff verursacht Charme.","Il suo attacco a distanza infligge Livido e -2 alla [img:spd] ai nemici, e fornisce Guardia e +2 alla [img:spd] agli alleati.
Il suo attacco corpo a corpo infligge Fascino.","Seu ataque à distância aplica contusão e -2 de [img:spd] em inimigos, e preparação e +2 de [img:spd] em aliados.
Seu ataque corpo-a-corpo aplica feitiço."
ENEMY_CLOAKEDDEMON_NAME,Cloaked Demon,,Demonio con capa,Démon drapé,Verhüllter Dämon,Demone Ammantato,Demônio Oculto
ENEMY_CLOAKEDDEMON_DESC,"Casts an area spell that inflicts Burn 3 to enemies and gives +1 Damage to allies.
Inflicts Hex on units that damage it.
Immune to Fire.",,"Lanza un hechizo en área que inflige 3 de quemadura a los enemigos y otorga +1 de daño a los aliados.
Inflige mal de ojo a las unidades que le infligen daño.
Inmune al fuego.","Lance un sort de zone qui inflige Brûlure +3&nbsp;aux ennemis et confère Dégâts +1&nbsp;aux alliés.
Inflige Magie vorace aux unités qui le touchent.
Immunité au feu.","Wirkt einen Flächenzauber, der bei Gegnern Verbrennung&nbsp;3, bei Verbündeten +1&nbsp;Schaden verursacht.
Verhext Einheiten, die ihm Schaden zufügen.
Immun gegen Feuer.","Lancia un incantesimo ad area che infligge Bruciatura 3 ai nemici e fornisce +1 al Danno degli alleati.
Infligge Maledizione alle unità che gli infliggono danno.
Immune al fuoco.","Lança um encantamento de área que aplica queimadura 3 em inimigos e concede +1 de dano a aliados.
Aplica bruxaria em unidades que causam dano a ele.
Imune contra fogo."
ENEMY_BRUTE_NAME,Brute,,Matón,Brute,Brutalo,Bruto,Bruto
ENEMY_BRUTE_DESC,"Throws rocks that have a chance inflict Stun when at range.
Will uppercut units above 50% health.
Will instantly kill units below 50% health.
Immune to Fire.",,"Lanza rocas que pueden aturdir a quien esté a su alcance.
Lanza un gancho a las unidades con más de un 50 % de salud.
Mata al instante a las unidades con menos de un 50 % de salud.
Inmune al fuego.","Lance des pierres qui ont une chance d'infliger Étourdissement.
Effectue un uppercut sur les unités avec plus de 50&nbsp;% de PV.
Tue instantanément les unités avec moins de 50&nbsp;% de PV.
Immunité au feu.","Wirft Steine, die aus der Ferne Betäubung verursachen können.
Verpasst Einheiten mit mehr als 50&nbsp;% LP einen Kinnhaken.
Tötet Einheiten unter 50&nbsp;% sofort.
Immun gegen Feuer.","Lancia rocce che hanno la possibilità di infliggere Stordimento se nel raggio d'azione.
Infligge un Montante contro le unità che hanno più del 50% di salute.
Uccide all'istante le unità che hanno meno del 50% di salute.
Immune al fuoco.","Lança pedras que possuem uma chance de atordoar quando à distância.
Realiza uppers contra unidades com mais de 50% de saúde.
Mata instantaneamente unidade com menos de 50% de saúde.
Imune contra fogo."
ENEMY_MEGATUMOR_NAME,Mega Tumor,,Megatumor,Mégatumeur,Megatumor,Mega Tumore,Mega Tumor
ENEMY_MEGATUMOR_DESC,"Trample.
Gains +1 movement range at the end of its turns.
Immune to Fire.",,"Pisotón.
Obtiene +1 de alcance del movimiento al final de los turnos.
Inmune al fuego.","Piétinement.
Portée de déplacement +1&nbsp;à la fin de ses tours.
Immunité au feu.","Trampel.
Erhält bis zum Ende seines Zuges +1&nbsp;Bewegungsreichweite.
Immun gegen Feuer.","Calpestamento.
Ottiene +1 al Raggio di Movimento al termine del suo turno.
Immune al fuoco.","Atropelamento.
Obtém +1 de alcance de movimento no final de seus turnos.
Imune contra fogo."
ENEMY_TUMORHEAD_NAME,Tumorhead,,Caratumor,Boursouflure,Tumorkopf,Testatumore,Cabeça de Tumor
ENEMY_TUMORHEAD_DESC,"Its melee attack knocks units back 3 tiles.
Dashes forward when damaged.",,"Su ataque cuerpo a cuerpo hace retroceder 3 casillas a las unidades.
Corre hacia delante al sufrir daño.","Son attaque au corps repousse les unités de 3&nbsp;cases.
Fonce vers l'avant quand il est touché.","Sein Nahkampfangriff stößt Einheiten 3&nbsp;Felder zurück.
Stürmt nach vorn, wenn er Schaden erleidet.","Il suo attacco corpo a corpo respinge le unità di tre caselle.
Scatta in avanti quando subisce danno.","Seu ataque corpo-a-corpo empurra unidades 3 espaços para trás.
Realiza um impulso para frente ao sofrer dano."
ENEMY_TALLTUMOR_NAME,Tall Tumor,,Tumor alto,Grande tumeur,Großer Tumor,Tumore Alto,Tumor Alto
ENEMY_TALLTUMOR_DESC,"Drains unspent mana from its enemies when they end their turn. Deals damage equal to the mana drained.
Counterattacks with a spin attack when damaged.",,"Absorbe el maná que los enemigos no han gastado cuando terminan su turno. Inflige el mismo daño que el maná absorbido.
Contrataca con un ataque giratorio al sufrir daño.","Aspire le mana inutilisé de ses ennemis à la fin de leur tour. Inflige des dégâts égaux au mana drainé.
Contre-attaque avec une attaque tournoyante quand il subit des dégâts.","Saugt ungenutztes Mana von seinen Gegnern ab, wenn sie ihren Zug beenden. Verursacht Schaden in Höhe des abgesaugten Manas.
Kontert mit einem Wirbelangriff, wenn er Schaden erleidet.","Assorbe il mana non usato dai suoi nemici al termine del loro turno. Infligge un danno pari al mana assorbito.
Quando subisce danno contrattacca con un attacco rotante.","Drena mana não utilizada de seus inimigos quando eles finalizam seus turnos. Causa dano equivalente à mana drenada.
Contra-ataca com um ataque giratório ao sofrer dano."
ENEMY_BIGASTEROID_NAME,Big Asteroid,,Asteroide grande,Grand astéroïde,Großer Asteroid,Asteroide Grande,Grande Asteróide
ENEMY_BIGASTEROID_DESC,"Its attack spawns a boulder.
Gets knocked back with Chain Knockback when hit.
Can only recieve 1 damage at a time.
Immune to status effects.",,"Su ataque genera un peñasco.
Retrocede con retroceso encadenado al recibir un golpe.
Solo puede recibir 1 de daño a la vez.
Es inmune a los efectos de estado.","Son attaque fait apparaître un rocher.
Subit Recul en chaîne quand il est touché.
Ne peut subir qu'1&nbsp;dégât à la fois.
Immunité aux altérations d'état.","Sein Angriff lässt einen Felsen erscheinen.
Wird mit Kettenrückstoß zurückgestoßen, wenn er getroffen wird.
Kann nur 1&nbsp;Schaden auf einmal erleiden.
Immun gegen Statuseffekte.","Il suo attacco genera un masso.
Viene respinto con Contraccolpo a Catena quando colpito.
Può subire un solo danno per volta.
Immune agli effetti di stato.","Seu ataque gera um pedregulho.
Sofre um empurrão com empurrão encadeado ao sofrer golpes.
Só pode sofrer 1 de dano por vez.
Imune a efeitos de estado."
ENEMY_SMALLASTEROID_NAME,Small Asteroid,,Asteroide pequeño,Petit astéroïde,Kleiner Asteroid,Asteroide Piccolo,Pequeno Asteróide
ENEMY_SMALLASTEROID_DESC,"Its attack shoots rocks at random tiles in an area.
Gets knocked back with Chain Knockback when hit.
Can only recieve 1 damage at a time.
Immune to status effects.",,"Su ataque dispara rocas a casillas al azar en un área.
Retrocede con retroceso encadenado al recibir un golpe.
Solo puede recibir 1 de daño a la vez.
Es inmune a los efectos de estado.","Son attaque lance des pierres sur des cases aléatoires dans une zone donnée.
Subit Recul en chaîne quand il est touché.
Ne peut subir qu'1&nbsp;dégât à la fois.
Immunité aux altérations d'état.","Sein Angriff verschießt Raketen auf zufällige Felder in einem bestimmten Bereich.
Wird mit Kettenrückstoß zurückgestoßen, wenn er getroffen wird.
Kann nur 1&nbsp;Schaden auf einmal erleiden.
Immun gegen Statuseffekte.","Il suo attacco spara rocce contro caselle casuali all'interno di un'area.
Viene respinto con Contraccolpo a Catena quando colpito.
Può subire solo 1 di danno per volta.
Immune agli effetti di stato.","Seu ataque lança pedras em espaços aleatórios em uma área.
Sofre um empurrão com empurrão encadeado ao sofrer golpes.
Só pode sofrer 1 de dano por vez.
Imune a efeitos de estado."
ENEMY_SAUCIE_NAME,Saucie,,Platillo,Soucoupe,UFO,Dischetto,Disquinho
ENEMY_SAUCIE_DESC,"Fires energy shots in an X shape.
Can inflict Marked on enemies or gain [img:divineshield].
Explodes when killed.",,"Dispara proyectiles de energía en forma de equis.
Puede infligir punto de mira a los enemigos u obtener [img:divineshield].
Estalla al morir.","Tire des projectiles d'énergie en forme de X.
Peut infliger Marquage aux ennemis ou gagner de la [img:divineshield].
Explose à sa mort.","Feuert Energieschüsse in einem X-förmigen Bereich ab.
Kann Gegner markieren oder [img:divineshield] erhalten.
Explodiert, wenn es stirbt.","Spara proiettili energetici tracciando una X.
Può infliggere Marchio ai nemici oppure ottenere [img:divineshield].
Esplode alla morte.","Dispara tiros de energia em forma de X.
Pode aplicar marcação em inimigos ou obter [img:divineshield].
Explode ao morrer."
ENEMY_MEGASAUCER_NAME,Megasaucer,,Megaplatillo,Mégasoucoupe,Riesen-UFO,Mega Disco Volante,Mega Disco
ENEMY_MEGASAUCER_DESC,"Performs a random action on its turn.
Has a dash attack that inflicts Stun.
Has a charge up laser attack that instakills.
Has the ability to summon B-Probers.
Explodes when killed.",,"Realiza una acción al azar en su turno.
Tiene un ataque relámpago que aturde.
Lanza un ataque láser cargado que mata al instante.
Puede invocar sondeadores anales.
Estalla al morir.","Effectue une action aléatoire durant son tour.
Son attaque impulsée inflige Étourdissement.
Son attaque au laser chargé tue sur le coup.
Peut invoquer des sondeurs anaux.
Explose à sa mort.","Führt zufällige Aktionen aus.
Kann einen Ansturmangriff ausführen, der Betäubung verursacht.
Kann einen Laserangriff aufladen, der sofort tötet.
Kann A-Sondierer beschwören.
Explodiert, wenn es stirbt.","Esegue un'azione casuale durante il suo turno.
Possiede un attacco in scatto che infligge Stordimento.
Possiede un attacco laser a caricamento che uccide istantaneamente.
Possiede l'abilità di evocare Sondatori-C.
Esplode quando viene ucciso.","Realiza uma ação aleatório em seu turno.
Possui um ataque de impulso que aplica atordoamento.
Possui um ataque de laser carregado que mata instantaneamente.
Possui a habilidade de invocar sondas-B.
Explode ao morrer."
ENEMY_YBLASTER_NAME,Y-Blaster,,Desintegrador amarillo,Flingueur jaune,Y-Blaster,Disintegratore-G,Blaster-A
ENEMY_YBLASTER_DESC,"Shoots at units that cross its path.
Gains +1 Damage at the end of its turn.
Moves away when in danger.",,"Dispara a las unidades que se cruzan en su camino.
Obtiene +1 de daño al final del turno.
Se aleja cuando está en peligro.","Tire sur les unités qui croisent son chemin.
Dégât +1&nbsp;à la fin de son tour.
Recule quand il est en danger.","Schießt auf Einheiten, die seinen Pfad kreuzen.
Erhält am Ende seines Zuges +1&nbsp;Schaden.
Bewegt sich weg, wenn ihm Gefahr droht.","Spara alle unità che incrociano il suo percorso.
Ottiene +1 al Danno al termine del suo turno.
Si allontana quando è in pericolo.","Dispara contra unidades que cruzam seu caminho.
Obtém +1 de dano no final de seu turno.
Afasta-se ao sofrer dano."
ENEMY_GALIEN_NAME,G-Alien,,Extraterrestre gris,Petit-gris,G-Alien,Alieno-G,Alien-C
ENEMY_GALIEN_DESC,"Its ranged attack has Knockback.
Primes a Counterspell at the end of its turn.
Is powered up when Counterspell is primed.",,"Su ataque a distancia tiene retroceso.
Lanza un contrahechizo al final del turno.
Se carga cuando el contrahechizo está preparado.","Son attaque à distance inflige Recul.
Prépare un contre-sort à la fin de son tour.
Est renforcé quand le contre-sort est prêt.","Sein Fernkampfangriff verursacht Rückstoß.
Bereitet am Ende seines Zuges einen Konterzauber vor.
Ist verstärkt, wenn sein Konterzauber vorbereitet ist.","Il suo attacco a distanza genera Contraccolpo.
Innesca un Controincantesimo al termine del suo turno.
Quando Controincantesimo è innescato, si carica.","Seu ataque à distância possui empurrão.
Prepara um contrafeitiço no final de seu turno.
Energiza-se quando o contrafeitiço é preparado."
ENEMY_BPROBER_NAME,B-Prober,,Sondeador anal,Sondeur anal,A-Sondierer,Sondatore-C,Sonda-A
ENEMY_BPROBER_DESC,"Melee attacker. If it can melee attack a cat from behind it will inflict Charm.
This Charm lasts until the Charmed cat takes damage.",,"Atacante cuerpo a cuerpo. Si puede atacar a un gato por la espalda, le inflige embrujo.
El gato sigue embrujado hasta que sufre daño.","Attaque au corps-à-corps. Inflige Envoûtement aux chats qu'il attaque par-derrière.
Ledit Envoûtement persiste jusqu'à ce que le chat envoûté subisse des dégâts.","Nahkämpfer. Verursacht Charme, wenn er eine Katze von hinten angreifen kann.
Charme hält an, bis die betroffene Katze Schaden erleidet.","Specialista del corpo a corpo. Se riesce ad attaccare un gatto da dietro, infligge Fascino che dura finché il gatto affascinato non subisce danno.","Agressor corpo-a-corpo. Se puder atacar um gato por trás, aplica feitiço.
Esse feitiço dura até que o gato enfeitiçado sofra dano."
ENEMY_WAGGLE_NAME,Waggle,,Vaivén,Frétillo,Wackli,Dondolone,Abano
ENEMY_WAGGLE_DESC,"Melee attacker.
Will turn enemy familiars and low health allies into Waggles!",,"Atacante cuerpo a cuerpo.
¡Transforma a los familiares enemigos y a los aliados con poca salud en vaivenes!","Attaque au corps-à-corps.
Change les familiers ennemis et les alliés à faible PV en frétillos&nbsp;!","Nahkämpfer.
Verwandelt gegnerische Begleiter und Verbündete mit wenig LP in Wacklis!","Specialista del corpo a corpo.
Trasforma i famigli nemici e gli alleati con poca salute in Dondoloni!","Agressor corpo-a-corpo.
Transforma familiares inimigos e aliados com saúde baixa em abanos."
ENEMY_3X3WAGGLE_DESC,HOLY FUCKING SHIT,Keeping this?,PUTA MIERDA,BORDEL DE MERDE,HEILIGE VERDAMMTE SCHEIẞE,PORCA DI QUELLA PUTTANA,PUTA QUE PARIU
ENEMY_HALFRAT_NAME,Half-Rat,,Medio rata,Mi-rat,Halbratte,Mezzo-Ratto,Meio-Rato
ENEMY_HALFRAT_DESC,Does a chaining dash attack.,,Lanza un ataque relámpago encadenado.,Effectue une attaque impulsée en chaîne.,Führt einen Mehrfachansturm aus.,Esegue un attacco in scatto concatenato.,Realiza um ataque de impulso encadeado.
ENEMY_GAMETE_NAME,Gamete,,Gameto,Gamète,Gamet,Gamete,Gamete
ENEMY_GAMETE_DESC,Spawns random units.,,Genera unidades al azar.,Invoque des unités aléatoires.,Lässt zufällige Einheiten erscheinen.,Genera unità casuali.,Gera unidades aleatórias.
ENEMY_HALFDOG_NAME,Half-Dog,,Medio perro,Mi-chien,Halbhund,Mezzo-Cane,Meio-Cão
ENEMY_HALFDOG_DESC,"Has a leap attack with Knockback.
Leap attacks in the direction it's facing when damaged.",,"Lanza un ataque con salto que inflige retroceso.
Ataca en la dirección hacia la que mira al sufrir daño.","Son attaque sautée inflige Recul.
Effectue des attaques sautées dans la direction qu'il regarde quand il est touché.","Hat einen Sprungangriff mit Rückstoß.
Springt in die Richtung, in die er blickt, wenn er Schaden erleidet.","Possiede un attacco in salto con Contraccolpo.
Attacca in salto nella direzione in cui è rivolto quando subisce danno.","Possui um ataque de salto com empurrão.
Realiza um ataque de salto na direção para a qual está virado ao sofrer dano."
ENEMY_CATHUMAN_NAME,Half-Human λ,,Medio humano λ,Mi-humain λ,Halbmensch λ,Mezzo-Umano λ,Meio-Humano λ
ENEMY_CATHUMAN_DESC,"Spawns Kittens.
Its melee attack inflicts injuries.
Can howl to Immobilize units.",,"Genera gatitos.
Su ataque cuerpo a cuerpo inflige lesiones.
Puede aullar para inmovilizar a las unidades.","Invoque des chatons.
Son attaque au corps-à-corps inflige des blessures.
Inflige Immobilisation en «&nbsp;miaulant&nbsp;».","Lässt Kätzchen erscheinen.
Sein Nahkampfangriff verursacht Verletzungen.
Kann heulen, um Einheiten bewegungsunfähig zu machen.","Genera Gattini.
Il suo attacco corpo a corpo infligge ferite.
Può ululare per infliggere Immobilizzazione alle unità.","Gera gatinhos.
Seu ataque corpo-a-corpo aplica ferimentos.
Pode uivar para imobilizar unidades."
ENEMY_HUMANCAT_NAME,Half-Human δ,,Medio humano δ,Mi-humain δ,Halbmensch δ,Mezzo-Umano δ,Meio-Humano δ
ENEMY_HUMANCAT_DESC,Melee attacker that Immobilizes. May dodge attacks unless attacked from the human side.,,Este atacante cuerpo a cuerpo inmoviliza a las unidades. Esquiva los ataques que no provengan del costado humano.,Attaque au corps-à-corps qui inflige Immobilisation. Esquive les attaques excepté si elles viennent du côté humain.,"Nahkämpfer, der Einheiten bewegungsunfähig macht. Kann Angriffen ausweichen, es sei denn, seine menschliche Seite wird angegriffen.","Specialista del corpo a corpo che infligge Immobilizzazione. Può schivare gli attacchi, a meno che l'attacco non venga portato dal lato della sua parte umana.",Agressor corpo-a-corpo que imobiliza. Pode se esquivar de ataques se não for atacado pelo lado humano.
ENEMY_HUMANCAT2_DESC,Has a spin attack with Knockback.,,Lanza un ataque giratorio con retroceso.,Son attaque tournoyante inflige Recul.,Hat einen Wirbelangriff mit Rückstoß.,Possiede un attacco rotante con Contraccolpo.,Possui um ataque giratório com empurrão.
ENEMY_COPBOT_NAME,Cop Bot,,Policop,Roboflic,Polizeibot,Bot Poliziotto,Bot Policial
ENEMY_COPBOT_DESC,Melee attacker. Will shoot at enemies who damage its allies.,,Este atacante cuerpo a cuerpo dispara a los enemigos que infligen daño a sus aliados.,Attaque au corps-à-corps. Tire sur les ennemis qui attaquent ses alliés.,"Nahkämpfer. Schießt auf Gegner, die seinen Verbündeten Schaden zufügen.",Specialista del corpo a corpo. Spara ai nemici che infliggono danno ai suoi alleati.,Agressor corpo-a-corpo. Atira contra inimigos que causam dano contra seus aliados.
ENEMY_DRDITTO_NAME,Dr. Ditto,,Dr. Ditto,Dr Sansâme,Dr. Ditto,Dottor Ditto,Dr. Ditto
ENEMY_DRDITTO_DESC,"Fires explosive rockets that hit a random tile in an area.
Will Fear units near it at the start of its turn.
Its body revives at the end of the round.",,"Dispara cohetes explosivos que golpean una casilla al azar en un área.
Inflige miedo a las unidades cercanas al inicio del turno.
El cadáver resucita al final de la ronda.","Lance des roquettes explosives qui touchent une case aléatoire dans une zone donnée.
Inflige Peur aux unités proches au début de son tour.
Son corps est réanimé en fin de manche.","Verschießt explosive Raketen, die zufällige Felder in einem bestimmten Bereich treffen.
Verursacht Angst bei Einheiten, die sich am Anfang seines Zuges in seiner Nähe befinden.
Wird am Ende der Runde wiederbelebt.","Spara razzi esplosivi che colpiscono caselle casuali all'interno di un'area.
Infligge Paura alle unità vicine all'inizio del suo turno.
Il suo corpo si rianima al termine del round.","Dispara foguetes explosivos que acertam um espaço aleatório em uma área.
Aplica medo em unidades próximas no início de seu turno.
Seu corpo revive no final da rodada."
ENEMY_POISONFROG_NAME,Poison Frog,,Rana venenosa,Grenouille venimeuse,Giftfrosch,Rana Velenosa,Sapo Venenoso
ENEMY_POISONFROG_DESC,,,,,,,
ENEMY_MEGAMUTANT_NAME,Mega Mutant,,Megamutante,Méga mutant,Megamutant,Mega Mutante,Mega Mutante
ENEMY_MEGAMUTANT_DESC,"Melee attacks adjacent units with Knockback 10 at the start of its turn.
Performs a straight, long-range quake attack.
Can grab and instakill units if it can reach them.
Gains +99 Brace until its next turn when damaged.",its not +99 anymore is it?,"Ataca cuerpo a cuerpo a las unidades adyacentes con 10 de retroceso al inicio del turno.
Lanza un ataque recto con temblor a larga distancia.
Agarra a las unidades que tiene al alcance y las mata al instante.
Al sufrir daño, obtiene +99 de refuerzo hasta el siguiente turno.","Attaque les unités adjacentes avec Recul +10&nbsp;au début de son tour.
Génère un séisme en ligne droite de longue portée.
Peut attraper et tuer sur le coup les unités à sa portée.
Bénéficie de Garde +99&nbsp;jusqu'à son prochain tour quand il est touché.","Greift am Anfang seines Zuges benachbarte Einheiten mit Rückstoß&nbsp;10 an.
Kann ein gerades, weitreichendes Erdbeben beschwören.
Kann Einheiten packen und sofort töten, wenn sie sich in Reichweite befinden.
Erhält bis zu seinem nächsten Zug +99&nbsp;Wappnen, wenn er Schaden erleidet.","Esegue un attacco corpo a corpo con Contraccolpo 10 sulle unità adiacenti all'inizio del suo turno.
Esegue un attacco sismico frontale a lunga distanza.
Può afferrare e uccidere le unità istantaneamente se riesce a raggiungerle.
Quando subisce danno, ottiene +99 Guardia fino al suo prossimo turno.","Realiza ataques corpo-a-corpo com empurrão 10 em unidades adjacentes no início de seu turno.
Realiza um ataque de terremoto de longo alcance em linha reta.
Pode agarrar e matar instantaneamente unidades se puder alcançá-las.
Obtém +99 de preparação até o próximo turno ao sofrer dano."
